trace_id,event:start_weekday,event:duration,trace:cycle_time,adaptation_action
0,0,30.0,211.07310545,insert
1,0,0.0,221.03844581666667,no-action
2,0,0.0,260.2662503,skip
3,1,30.0,240.0568420833333,no-action
4,1,0.0,198.28049398333332,no-action
5,1,0.0,225.45624401666663,no-action
6,1,0.0,229.93501346666667,no-action
7,1,0.0,228.04434566666663,no-action
8,1,0.0,203.25947431666663,no-action
9,1,0.0,249.2797361833333,no-action
10,2,0.0,267.15835143333334,skip
11,2,0.0,1229.4386096666667,skip
12,2,0.0,1196.8632374833333,skip
13,1,0.0,1344.3890280666667,skip
14,1,0.0,261.8464804,skip
15,1,0.0,233.4987114,no-action
16,2,0.0,1100.759495733333,skip
17,2,0.0,216.07855865,no-action
18,2,0.0,234.51400126666667,no-action
19,2,0.0,217.7193272,no-action
20,2,0.0,195.11773835,no-action
21,2,0.0,237.15698986666663,no-action
22,2,0.0,261.77631756666665,skip
23,2,0.0,213.4146286333333,no-action
24,1,0.0,213.5229633,insert
25,2,30.0,211.60659855,no-action
26,2,0.0,262.5346277333333,skip
27,2,0.0,1225.9687522,skip
28,3,0.0,1117.4235539833332,skip
29,3,0.0,1162.1512955333333,skip
30,3,0.0,239.7363846,no-action
31,2,0.0,215.16461468333333,no-action
32,2,0.0,973.3364601666668,skip
33,3,0.0,234.00207946666663,no-action
34,3,0.0,242.01719266666663,no-action
35,1,0.0,217.98250151666667,no-action
36,3,0.0,198.3861799,insert
37,3,0.0,231.43167546666663,no-action
38,3,30.0,263.73870795,skip
39,3,0.0,244.38444195,no-action
40,3,0.0,201.70385265,no-action
41,3,0.0,233.8478578333333,no-action
42,3,0.0,240.81113095,no-action
43,3,0.0,1150.1917988833334,skip
44,3,0.0,1193.1744407333333,skip
45,4,0.0,1318.3438762,skip
46,0,0.0,252.04327515,skip
47,4,0.0,227.20429591666667,no-action
48,4,0.0,1155.9037356833333,skip
49,3,0.0,220.8848614,no-action
50,3,0.0,260.22106238333333,skip
51,4,0.0,234.88459815,no-action
52,4,0.0,198.57318761666667,no-action
53,4,0.0,217.40169555,no-action
54,4,0.0,244.9697761,no-action
55,4,0.0,228.26907476666668,no-action
56,4,0.0,203.7427895833333,no-action
57,0,0.0,244.56541855,no-action
58,4,0.0,271.2159945,skip
59,4,0.0,1123.8767772166666,skip
60,4,30.0,1181.75159915,skip
61,4,0.0,1172.2802379,skip
62,4,0.0,265.74221996666665,skip
63,0,0.0,243.24822525,no-action
64,0,0.0,1165.3693624333334,skip
65,0,0.0,224.0634557,no-action
66,4,0.0,234.64376898333333,no-action
67,4,0.0,224.24726175,no-action
68,1,0.0,203.16020428333331,no-action
69,0,0.0,236.6013786833333,no-action
70,0,0.0,238.54425621666667,no-action
71,0,0.0,217.63078428333333,no-action
72,0,0.0,220.76213095,insert
73,0,0.0,214.5460641,no-action
74,0,0.0,257.7732638333333,skip
75,0,0.0,4338.199089566667,skip
76,0,0.0,4021.0161645,skip
77,0,30.0,3952.47219715,skip
78,0,0.0,245.6416515,no-action
79,1,0.0,222.63545363333333,no-action
80,0,0.0,4500.708351116667,skip
81,1,0.0,244.59368151666663,no-action
82,1,0.0,249.81615025,no-action
83,1,0.0,218.0421800833333,no-action
84,0,0.0,211.52740961666663,insert
85,0,0.0,218.11034975,no-action
86,1,0.0,262.66679935,skip
87,1,0.0,246.7066900833333,no-action
88,1,0.0,200.00671386666667,no-action
89,1,0.0,219.3845119,no-action
90,1,0.0,255.07735351666668,skip
91,1,30.0,1192.07831555,skip
92,1,0.0,1157.4052278,skip
93,1,0.0,1379.9146961833333,skip
